,age,gender,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
676,22,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
88,29,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
86,39,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1210,24,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
505,46,1.0,0.0,0.0,2.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
976,38,1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1147,39,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0
981,37,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
636,36,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
580,41,1.0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31,31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
534,21,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
388,25,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
628,32,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
1207,23,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0
637,30,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
903,24,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
579,34,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
761,37,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0
980,40,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0
504,35,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
380,41,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
199,28,1.0,0.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
75,19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
195,31,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
704,43,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1131,32,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1018,30,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1231,24,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1032,40,1.0,0.0,1.0,2.0,5.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
338,24,1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1068,48,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
694,32,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
1204,34,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1001,42,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
632,31,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
831,40,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
15,29,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
479,30,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
715,15,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
393,26,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
631,56,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
330,24,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
446,34,1.0,0.0,1.0,0.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
528,29,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
788,37,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1164,46,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1143,27,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
89,32,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
325,25,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
284,25,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0
839,36,1.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
611,42,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0
385,27,0.0,0.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1162,31,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
941,40,1.0,0.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
219,41,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
486,28,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
811,29,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
554,27,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
500,38,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
785,25,1.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
62,27,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
933,38,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
805,28,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1039,35,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1186,56,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
567,32,1.0,0.0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0
339,29,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
288,38,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
177,32,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0
1180,32,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
739,36,1.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
797,28,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0
277,28,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
367,36,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
912,24,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
397,35,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
1253,36,1.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
775,39,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
1213,31,1.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0
1149,32,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
473,39,0.0,0.0,0.0,2.0,5.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
1071,43,1.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,26,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
987,28,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
50,22,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
158,27,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
246,21,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,50,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
913,33,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
282,18,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
160,36,1.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
574,50,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
832,29,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0
762,37,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
459,37,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
436,26,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
427,26,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
416,30,2.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
706,26,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
1015,23,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
37,38,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
1072,41,1.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
56,32,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
295,24,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
188,23,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
428,23,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
606,50,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1243,43,0.0,0.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
656,29,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
777,32,2.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0
778,27,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
109,32,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
1031,31,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
774,37,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
99,30,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
1245,22,1.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
887,38,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0
746,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0
1158,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,31,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
103,33,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0
537,26,1.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
353,26,1.0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1053,36,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1101,26,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1146,38,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0
399,29,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0
153,36,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
